component_id,batch_id,component_family,measurement_name,as_of_hour,last_observed_hour,n_observations,initial_value,current_value,delta,percent_change,slope,acceleration,variability,upper_limit,delta_fraction_of_limit,slope_fraction_per_hour,acceleration_fraction_per_hour2,variability_fraction_of_limit,limit_fraction,distance_to_upper_limit,distance_fraction_to_upper_limit,temperature_c,humidity_pct,test_condition,data_source,current_batch_robust_z,slope_batch_robust_z,initial_fraction_of_limit,measurement_temperature_c,voltage_stress_ratio,measurement_voltage_v,prior_storage_humidity_pct,initial_capacitance_fraction,current_capacitance_fraction,capacitance_change_fraction,initial_dissipation_factor_pct,current_dissipation_factor_pct,dissipation_factor_change_pct
MLCC_C000002,MLCC_B046,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0115336302033,0.0124795515148,0.0009459213115,0.08201418762579654,3.941338797916659e-05,0.0,0.00047296065575,0.12,0.007882677595833333,0.00032844489982638826,0.0,0.003941338797916667,0.10399626262333334,0.1075204484852,0.8960037373766667,122.920435267,,,synthetic,-0.7804227939080164,1.2360057351375109,0.0961135850275,24.1559440548,0.9109276985760001,49.2110231956,21.8225744456,0.9953752497130001,0.9912360021359999,-0.004139247577000127,0.655514041582,0.71934621541,0.063832173828
MLCC_C000003,MLCC_B033,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0328895403141,0.0320446443112,-0.0008448960028999974,-0.0256888966775186,-3.5204000120833516e-05,0.0,0.0004224480014499987,0.25,-0.0033795840115999898,-0.00014081600048333406,0.0,0.0016897920057999949,0.1281785772448,0.2179553556888,0.8718214227552,125.09471411,,,synthetic,0.4051018929854784,0.3161470099481003,0.1315581612564,24.0466965186,0.926481574946,49.5324079615,33.1027305512,0.99225261595,0.9894769415029999,-0.0027756744470001137,0.974884084337,1.0480807173,0.07319663296299994
MLCC_C000004,MLCC_B036,MLCC_X7R,leakage_ua,24.0,24.0,2,0.246045816177,0.313508675283,0.06746285910600003,0.27418819858114846,0.0028109524627500013,0.0,0.033731429553000014,1.3,0.051894507004615405,0.0021622711251923087,0.0,0.025947253502307702,0.24116051944846156,0.986491324717,0.7588394805515384,121.207631837,,,synthetic,4.3045407408082665,6.470041627903061,0.18926601244384614,24.9763053512,0.91473343758125,15.951544078,48.1802289318,1.0157985845361703,1.009017754861702,-0.00678082967446805,0.888550332871,0.92088359162,0.03233325874899995
MLCC_C000006,MLCC_B058,MLCC_X7R,leakage_ua,24.0,24.0,2,0.107838922734,0.0967421985815,-0.011096724152500001,-0.10290091806528562,-0.0004623635063541679,0.0,0.0055483620762500005,1.3,-0.00853594165576923,-0.0003556642356570522,0.0,0.004267970827884615,0.07441707583192307,1.2032578014185,0.9255829241680769,123.901806549,,,synthetic,-0.9564828075867237,0.009528091908717172,0.08295301748769231,23.1153220526,0.9464098778,15.5528961834,55.6554001208,1.0250817846914893,1.0226895900531914,-0.002392194638297874,0.759041818825,0.694667694863,-0.06437412396200004
MLCC_C000007,MLCC_B009,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0235065162137,0.0211700208145,-0.0023364953992000004,-0.09939777455573152,-9.73539749666669e-05,0.0,0.0011682476996000002,0.12,-0.01947079499333334,-0.0008112831247222242,0.0,0.00973539749666667,0.17641684012083333,0.09882997918549999,0.8235831598791666,124.089609789,,,synthetic,1.3904389121003187,-0.7016391710977966,0.19588763511416668,26.4413222705,0.880188180206,49.8016087384,24.513875605,1.04955710945,1.0480332297700001,-0.0015238796800000286,0.730084348042,0.769327933538,0.039243585496000044
MLCC_C000008,MLCC_B037,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0286219786975,0.0414919928667,0.0128700141692,0.44965494193188454,0.0005362505903833331,0.0,0.0064350070846,0.25,0.0514800566768,0.0021450023615333324,0.0,0.0257400283384,0.1659679714668,0.2085080071333,0.8340320285332,123.520113825,,,synthetic,1.3846284581277337,5.734076058233532,0.11448791479,26.3520117798,0.9661186482780001,49.5981480008,84.1566570022,0.9875700156080001,0.985341439462,-0.002228576146000023,0.430327159452,0.515376117757,0.08504895830499998
MLCC_C000009,MLCC_B028,MLCC_X7R,leakage_ua,24.0,24.0,2,0.139023304746,0.126745036393,-0.012278268353,-0.08831805843943061,-0.0005115945147083356,0.0,0.0061391341765,1.3,-0.009444821809999998,-0.00039353424208333506,0.0,0.004722410904999999,0.09749618184076923,1.173254963607,0.9025038181592308,121.627843059,,,synthetic,-0.7962771262006697,0.08182254649229233,0.10694100365076922,24.8097844413,0.9656110180375,15.773521612,31.356445326,1.0457111401595744,1.0391728580212765,-0.006538282138297949,0.814081739389,0.828419753976,0.014338014587000014
MLCC_C000010,MLCC_B005,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0923279713957,0.0841109066012,-0.00821706479449999,-0.08899864981635115,-0.0003423776997708335,0.0,0.004108532397249995,0.7,-0.011738663992142843,-0.0004891109996726193,0.0,0.005869331996071422,0.1201584380017143,0.6158890933987999,0.8798415619982857,124.832050391,,,synthetic,0.5414439619872025,-0.2638039691723589,0.13189710199385715,26.6688124147,0.8910554226,24.2540004425,57.8176924223,0.985220309132,0.983746971049,-0.0014733380830000442,0.71327891985,0.72703683242,0.01375791256999992
MLCC_C000011,MLCC_B005,MLCC_X7R,leakage_ua,24.0,24.0,2,0.114014886954,0.0962983610996,-0.017716525854400006,-0.15538782985021812,-0.000738188577266667,0.0,0.008858262927200003,0.7,-0.025309322649142867,-0.0010545551103809528,0.0,0.012654661324571433,0.13756908728514286,0.6037016389004,0.8624309127148572,124.474537066,,,synthetic,1.0658454895261258,-1.590529658093328,0.16287840993428573,26.6688124147,0.8910554226,24.2540004425,56.6286117337,1.00523584138,0.9982854695910001,-0.006950371788999973,0.721610218384,0.744673183676,0.023062965292000026
MLCC_C000012,MLCC_B051,MLCC_X7R,leakage_ua,24.0,24.0,2,0.0892555719576,0.109620168786,0.0203645968284,0.2281605101144162,0.0008485248678499995,0.0,0.0101822984142,0.7,0.029092281183428572,0.0012121783826428564,0.0,0.014546140591714286,0.15660024112285717,0.590379831214,0.8433997588771428,122.003563239,,,synthetic,1.130501400103356,3.091039867862165,0.1275079599394286,24.4434327009,0.9914218024279999,24.4523823908,31.5816599365,0.9525468911980001,0.958206138413,0.005659247214999936,0.741993027924,0.787091118294,0.04509809037000001
