feature,importance
delta_fraction_of_limit,0.22605156898498535
distance_fraction_to_upper_limit,0.14725100994110107
limit_fraction,0.13877204060554504
slope_fraction_per_hour,0.13780651986598969
variability_fraction_of_limit,0.03933117538690567
current_batch_robust_z,0.037253525108098984
slope_batch_robust_z,0.027929479256272316
percent_change,0.026116101071238518
initial_fraction_of_limit,0.023197943344712257
measurement_temperature_c,0.02279365062713623
capacitance_change_fraction,0.021997597068548203
measurement_voltage_v,0.01944850943982601
current_dissipation_factor_pct,0.019019749015569687
prior_storage_humidity_pct,0.01674831658601761
initial_dissipation_factor_pct,0.016701502725481987
initial_capacitance_fraction,0.01660916954278946
dissipation_factor_change_pct,0.016189400106668472
current_capacitance_fraction,0.015663428232073784
voltage_stress_ratio,0.01565423794090748
temperature_c,0.015465112403035164
acceleration_fraction_per_hour2,0.0
