component_id,batch_id,component_family,measurement_name,hours,measurement_value,upper_limit
SYN_accelerating_degradation_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1031286469912857,0.7
SYN_accelerating_degradation_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1562062781041661,0.7
SYN_accelerating_degradation_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1055167401458345,0.7
SYN_accelerating_degradation_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1556095380058222,0.7
SYN_accelerating_degradation_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1028105832734406,0.7
SYN_accelerating_degradation_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1615583649969747,0.7
SYN_accelerating_degradation_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0996827289615712,0.7
SYN_accelerating_degradation_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1613405653136846,0.7
SYN_accelerating_degradation_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1044130964857,0.7
SYN_accelerating_degradation_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1607637127921793,0.7
SYN_accelerating_degradation_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1018983448744285,0.7
SYN_accelerating_degradation_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1705030701329823,0.7
SYN_accelerating_degradation_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1146240869557283,0.7
SYN_accelerating_degradation_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1556713855204636,0.7
SYN_accelerating_degradation_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1041657017334216,0.7
SYN_accelerating_degradation_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1552838573445212,0.7
SYN_accelerating_degradation_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1012593277984508,0.7
SYN_accelerating_degradation_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1614487447067515,0.7
SYN_accelerating_degradation_009,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0984628108089962,0.7
SYN_accelerating_degradation_009,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1583040537716783,0.7
SYN_accelerating_degradation_010,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0933486614971742,0.7
SYN_accelerating_degradation_010,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1626805526281153,0.7
SYN_accelerating_degradation_011,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1079693336372081,0.7
SYN_accelerating_degradation_011,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1504251787438111,0.7
SYN_accelerating_degradation_012,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0957402590039116,0.7
SYN_accelerating_degradation_012,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1660200333791628,0.7
SYN_accelerating_degradation_013,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1051344430362125,0.7
SYN_accelerating_degradation_013,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1662309300334992,0.7
SYN_accelerating_degradation_014,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0967601170911468,0.7
SYN_accelerating_degradation_014,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1532299384703756,0.7
SYN_accelerating_degradation_015,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0999998078925445,0.7
SYN_accelerating_degradation_015,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1693248272454015,0.7
SYN_accelerating_degradation_016,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.097333228418413,0.7
SYN_accelerating_degradation_016,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1516158835852661,0.7
SYN_accelerating_degradation_017,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0958848218804516,0.7
SYN_accelerating_degradation_017,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1604477545481372,0.7
SYN_accelerating_degradation_018,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.096844292121173,0.7
SYN_accelerating_degradation_018,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1580272788434774,0.7
SYN_accelerating_degradation_019,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0987773705379562,0.7
SYN_accelerating_degradation_019,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1562254521839485,0.7
SYN_gradual_degradation_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1086408143299498,0.7
SYN_gradual_degradation_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1311440422642832,0.7
SYN_gradual_degradation_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0926653512697051,0.7
SYN_gradual_degradation_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1379639872242063,0.7
SYN_gradual_degradation_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0922590481391534,0.7
SYN_gradual_degradation_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1412178191745676,0.7
SYN_gradual_degradation_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1064785194488601,0.7
SYN_gradual_degradation_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.131389570579353,0.7
SYN_gradual_degradation_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.091760453510742,0.7
SYN_gradual_degradation_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1396144982126692,0.7
SYN_gradual_degradation_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1024447635764802,0.7
SYN_gradual_degradation_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.143782358808264,0.7
SYN_gradual_degradation_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0963419446834096,0.7
SYN_gradual_degradation_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1382067928311413,0.7
SYN_gradual_degradation_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0974404149960432,0.7
SYN_gradual_degradation_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1374899562034539,0.7
SYN_gradual_degradation_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.109072262858646,0.7
SYN_gradual_degradation_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1386154079901926,0.7
SYN_gradual_degradation_009,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1006135376600336,0.7
SYN_gradual_degradation_009,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1334572358919631,0.7
SYN_gradual_degradation_010,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.087783970886821,0.7
SYN_gradual_degradation_010,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1292558410457992,0.7
SYN_gradual_degradation_011,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1055362759743466,0.7
SYN_gradual_degradation_011,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1391588554974535,0.7
SYN_gradual_degradation_012,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1050617658305581,0.7
SYN_gradual_degradation_012,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1368925683118222,0.7
SYN_gradual_degradation_013,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0989770242149754,0.7
SYN_gradual_degradation_013,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1366020682969532,0.7
SYN_gradual_degradation_014,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0954639332977258,0.7
SYN_gradual_degradation_014,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1269479565410609,0.7
SYN_gradual_degradation_015,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0986975608475643,0.7
SYN_gradual_degradation_015,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1310749741009675,0.7
SYN_gradual_degradation_016,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0945620447857591,0.7
SYN_gradual_degradation_016,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1394440937394599,0.7
SYN_gradual_degradation_017,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1004124715214185,0.7
SYN_gradual_degradation_017,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1394311540984063,0.7
SYN_gradual_degradation_018,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0942122517643994,0.7
SYN_gradual_degradation_018,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1387198682235429,0.7
SYN_gradual_degradation_019,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0960492375001849,0.7
SYN_gradual_degradation_019,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1397214726493995,0.7
SYN_healthy_noisy_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0846661428206828,0.7
SYN_healthy_noisy_000,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.0936049707734577,0.7
SYN_healthy_noisy_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1106801468116839,0.7
SYN_healthy_noisy_001,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.0986905116987461,0.7
SYN_healthy_noisy_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.092162137408681,0.7
SYN_healthy_noisy_002,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1094988032222117,0.7
SYN_healthy_noisy_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0833123194321814,0.7
SYN_healthy_noisy_003,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.0764857819033938,0.7
SYN_healthy_noisy_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1081154996820757,0.7
SYN_healthy_noisy_004,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.0841062184919706,0.7
SYN_healthy_noisy_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0913983211365327,0.7
SYN_healthy_noisy_005,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.0943583409079321,0.7
SYN_healthy_noisy_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1280130246897811,0.7
SYN_healthy_noisy_006,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.1002155805032985,0.7
SYN_healthy_noisy_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.1107146475370686,0.7
SYN_healthy_noisy_007,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.0850781695829024,0.7
SYN_healthy_noisy_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,0,0.0987511549809286,0.7
SYN_healthy_noisy_008,SYNTH_TEST_BATCH_1,MLCC_X7R,leakage_ua,24,0.093320933544829,0.7
