config,scenario,components,mae_normalized,mean_signed_error
persistence,accelerating_drift,375,0.7945831522710732,-0.7945831522710732
persistence,gradual_drift,347,0.6518811127857534,-0.6518811127857534
persistence,healthy_settling,4428,0.005577414530733974,0.0035748992554769108
persistence,intermittent_leakage,204,0.3651692182176755,-0.09511984406865251
persistence,late_abrupt_onset,278,1.0166830157358444,-1.0166830157358444
persistence,moisture_associated_history,227,0.7267800031266262,-0.7267800031266262
persistence,ordinary_noise,1196,0.016216583014253685,0.004032321731256193
persistence,tester_channel_fault,145,0.3847895801685055,-0.36406248049733075
linear_extrapolation,accelerating_drift,375,0.8262190051459732,-0.8262190051459732
linear_extrapolation,gradual_drift,347,0.29399949791906005,-0.18270158190181768
linear_extrapolation,healthy_settling,4428,0.06736161804532542,-0.06337725175376387
linear_extrapolation,intermittent_leakage,204,1.8531715885601443,1.3758029770600866
linear_extrapolation,late_abrupt_onset,278,1.1263279303156406,-1.020531364168962
linear_extrapolation,moisture_associated_history,227,0.6272197869889686,-0.503256123301406
linear_extrapolation,ordinary_noise,1196,0.08963158219236292,-0.031054273671167306
linear_extrapolation,tester_channel_fault,145,1.6470677733205994,0.7624315704662736
xgb_v1_replica,accelerating_drift,375,0.6597489878008755,-0.6593821783416326
xgb_v1_replica,gradual_drift,347,0.2445662558500005,-0.12380854154737898
xgb_v1_replica,healthy_settling,4428,0.11188251890374513,0.11183340374895308
xgb_v1_replica,intermittent_leakage,204,0.5232144226218137,0.06636510276720695
xgb_v1_replica,late_abrupt_onset,278,0.9067999164468742,-0.9049161991738557
xgb_v1_replica,moisture_associated_history,227,0.45876994936309984,-0.41721604140975976
xgb_v1_replica,ordinary_noise,1196,0.1315413633232967,0.13050660337369083
xgb_v1_replica,tester_channel_fault,145,0.44305048917418677,-0.22333264741790945
xgb_sq_norm_leak,accelerating_drift,375,0.6566909466508057,-0.6560731457425013
xgb_sq_norm_leak,gradual_drift,347,0.23669530778972508,-0.11685231418745609
xgb_sq_norm_leak,healthy_settling,4428,0.11253003925872607,0.11253003925872607
xgb_sq_norm_leak,intermittent_leakage,204,0.5487215255198354,0.10468132883850158
xgb_sq_norm_leak,late_abrupt_onset,278,0.9086987830910072,-0.9081403348786766
xgb_sq_norm_leak,moisture_associated_history,227,0.476408091811017,-0.41790887313135966
xgb_sq_norm_leak,ordinary_noise,1196,0.12920638514679514,0.12840686063454404
xgb_sq_norm_leak,tester_channel_fault,145,0.40380907218751694,-0.2613420900638374
xgb_sq_resid_leak,accelerating_drift,375,0.656887016380323,-0.6561381612571929
xgb_sq_resid_leak,gradual_drift,347,0.23785677205795014,-0.12152549393106897
xgb_sq_resid_leak,healthy_settling,4428,0.1125676049720854,0.11256721034161524
xgb_sq_resid_leak,intermittent_leakage,204,0.540685543801732,0.11694365336716067
xgb_sq_resid_leak,late_abrupt_onset,278,0.9081734285559763,-0.9071857546467116
xgb_sq_resid_leak,moisture_associated_history,227,0.47295463193809706,-0.4132683836100915
xgb_sq_resid_leak,ordinary_noise,1196,0.12778795502705118,0.12691051771734374
xgb_sq_resid_leak,tester_channel_fault,145,0.41223120433152577,-0.2753363151527297
xgb_abs_norm_leak,accelerating_drift,375,0.7656653342001493,-0.7656653342001493
xgb_abs_norm_leak,gradual_drift,347,0.27074822399052373,-0.20904905617963973
xgb_abs_norm_leak,healthy_settling,4428,0.010758986291657698,0.010033695295238499
xgb_abs_norm_leak,intermittent_leakage,204,0.4593939542792725,-0.08483000524678762
xgb_abs_norm_leak,late_abrupt_onset,278,1.0125849595337861,-1.0125849595337861
xgb_abs_norm_leak,moisture_associated_history,227,0.5553209092759005,-0.5207713707835143
xgb_abs_norm_leak,ordinary_noise,1196,0.04218938716106199,0.035075399522557144
xgb_abs_norm_leak,tester_channel_fault,145,0.4186903881754706,-0.3749122154648575
xgb_abs_resid_leak,accelerating_drift,375,0.7664910612953558,-0.7664910612953558
