component_id,batch_id,component_family,measurement_name,status,predicted_final_value,predicted_normalized,unit,target_hour,as_of_hour,upper_limit,value_at_24h,persistence_final_value,profile_id,peer_count,weak_peer_warning,imputed_feature_count,unavailable_reason,candidate_version,candidate_name
MLCC_C000047,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.04625740051269531,0.06608200073242188,uA,168.0,24.0,0.7,0.0421159519609,0.0421159519609,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000411,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.08052553087472915,0.11503647267818451,uA,168.0,24.0,0.7,0.0772860468477,0.0772860468477,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000540,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.06950564309954643,0.0992937758564949,uA,168.0,24.0,0.7,0.0654044065819,0.0654044065819,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000546,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.04769243001937866,0.06813204288482666,uA,168.0,24.0,0.7,0.0434574809595,0.0434574809595,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000554,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.06878813877701759,0.0982687696814537,uA,168.0,24.0,0.7,0.0646869024643,0.0646869024643,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000556,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.08072422221302986,0.11532031744718552,uA,168.0,24.0,0.7,0.0739466091339,0.0739466091339,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000668,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.07652508988976478,0.10932155698537827,uA,168.0,24.0,0.7,0.0734644659995,0.0734644659995,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000672,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.07530706822872162,0.10758152604103088,uA,168.0,24.0,0.7,0.0715524263004,0.0715524263004,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000731,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.05682644769549369,0.081180639564991,uA,168.0,24.0,0.7,0.0525915080748,0.0525915080748,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000850,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.12067027688026427,0.17238610982894897,uA,168.0,24.0,0.7,0.11839451815,0.11839451815,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000900,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.05499202758073806,0.07856003940105438,uA,168.0,24.0,0.7,0.0507242828108,0.0507242828108,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C000945,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.09509879499673843,0.13585542142391205,uA,168.0,24.0,0.7,0.0922437681292,0.0922437681292,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001065,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.40648785829544065,0.5806969404220581,uA,168.0,24.0,0.7,0.136686011389,0.136686011389,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001142,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.08174377158284186,0.11677681654691696,uA,168.0,24.0,0.7,0.0788681788845,0.0788681788845,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001217,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.07705877199769019,0.11008395999670029,uA,168.0,24.0,0.7,0.0738679983163,0.0738679983163,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001269,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.12462942749261856,0.17804203927516937,uA,168.0,24.0,0.7,0.122353659322,0.122353659322,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001358,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.09821597039699553,0.14030852913856506,uA,168.0,24.0,0.7,0.0953937421063,0.0953937421063,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001415,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.11762249767780303,0.16803213953971863,uA,168.0,24.0,0.7,0.115313930978,0.115313930978,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001461,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.06662069410085678,0.09517242014408112,uA,168.0,24.0,0.7,0.0627514984751,0.0627514984751,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
MLCC_C001486,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.10018310695886612,0.1431187242269516,uA,168.0,24.0,0.7,0.0975929152445,0.0975929152445,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_leak
