component_id,batch_id,component_family,measurement_name,status,predicted_final_value,predicted_normalized,unit,target_hour,as_of_hour,upper_limit,value_at_24h,persistence_final_value,profile_id,peer_count,weak_peer_warning,imputed_feature_count,unavailable_reason,candidate_version,candidate_name
MLCC_C000047,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.04568551555275917,0.06526502221822739,uA,168.0,24.0,0.7,0.0421159519609,0.0421159519609,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000411,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.07913495227694511,0.1130499318242073,uA,168.0,24.0,0.7,0.0772860468477,0.0772860468477,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000540,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.06929118558764458,0.0989874079823494,uA,168.0,24.0,0.7,0.0654044065819,0.0654044065819,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000546,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.04710590541362762,0.0672941505908966,uA,168.0,24.0,0.7,0.0434574809595,0.0434574809595,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000554,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.06751412451267241,0.09644874930381775,uA,168.0,24.0,0.7,0.0646869024643,0.0646869024643,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000556,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.08943539559841156,0.12776485085487366,uA,168.0,24.0,0.7,0.0739466091339,0.0739466091339,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000668,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.0764378048479557,0.10919686406850815,uA,168.0,24.0,0.7,0.0734644659995,0.0734644659995,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000672,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.07350987046957015,0.10501410067081451,uA,168.0,24.0,0.7,0.0715524263004,0.0715524263004,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000731,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.05657549798488617,0.08082213997840881,uA,168.0,24.0,0.7,0.0525915080748,0.0525915080748,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000850,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.12216862142086028,0.17452660202980042,uA,168.0,24.0,0.7,0.11839451815,0.11839451815,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000900,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.05466264858841896,0.07808949798345566,uA,168.0,24.0,0.7,0.0507242828108,0.0507242828108,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C000945,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.09590355306863785,0.13700507581233978,uA,168.0,24.0,0.7,0.0922437681292,0.0922437681292,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001065,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.403648841381073,0.5766412019729614,uA,168.0,24.0,0.7,0.136686011389,0.136686011389,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001142,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.08148264139890671,0.11640377342700958,uA,168.0,24.0,0.7,0.0788681788845,0.0788681788845,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001217,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.07504009157419204,0.10720013082027435,uA,168.0,24.0,0.7,0.0738679983163,0.0738679983163,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001269,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.1229862093925476,0.17569458484649658,uA,168.0,24.0,0.7,0.122353659322,0.122353659322,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001358,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.09820115864276885,0.1402873694896698,uA,168.0,24.0,0.7,0.0953937421063,0.0953937421063,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001415,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.11734137684106825,0.16763053834438324,uA,168.0,24.0,0.7,0.115313930978,0.115313930978,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001461,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.06711150035262108,0.09587357193231583,uA,168.0,24.0,0.7,0.0627514984751,0.0627514984751,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
MLCC_C001486,MLCC_B003,MLCC_X7R,leakage_ua,forecast,0.10095097124576569,0.1442156732082367,uA,168.0,24.0,0.7,0.0975929152445,0.0975929152445,SIM_X7R_1U_25V,200,False,0,,claude-forecast-v2.0,xgb_abs_resid_aux
