component_id,batch_id,component_family,measurement_name,as_of_hour,last_observed_hour,n_observations,initial_value,current_value,delta,percent_change,slope,acceleration,variability,upper_limit,delta_fraction_of_limit,slope_fraction_per_hour,acceleration_fraction_per_hour2,variability_fraction_of_limit,limit_fraction,distance_to_upper_limit,distance_fraction_to_upper_limit,temperature_c,humidity_pct,test_condition,data_source,current_batch_robust_z,slope_batch_robust_z,robust_deviation_score,robust_anomaly_score,is_robust_anomaly,model_anomaly_score,is_model_anomaly,anomaly_score,is_anomaly,reason_codes,flag_fixed_limit,flag_robust_mad,flag_isolation_forest,flag_combined,scenario,is_defect,is_tester_fault,defect_onset_hour,first_exceedance_hour,is_true_anomaly,is_detectable_by_as_of,is_future_limit_failure,is_early_future_failure
B01-C001,B01,Digital IC,leakage_ua,24.0,24.0,4,12.36310807403604,11.243629394935633,-1.119478679100407,-0.09054993876915482,-0.04348539608090416,-0.00313126435996286,0.5154639238290828,50.0,-0.02238957358200814,-0.0008697079216180832,-6.262528719925719e-05,0.010309278476581656,0.22487258789871267,38.75637060506437,0.7751274121012873,127.65883415256661,15.20141963958891,dynamic_burn_in,synthetic,-0.1304023576434651,-1.1073353238369,1.1073353238369,0.08373376459157007,False,0.0953494648991093,False,0.0953494648991093,False,[],False,False,False,False,intermittent,True,False,96.0,,True,False,False,False
B01-C002,B01,Digital IC,leakage_ua,24.0,24.0,4,11.921944610354469,11.888578452490842,-0.033366157863627066,-0.0027987177389373064,-0.0050668801945076645,-0.00473518085079919,0.237960224987133,50.0,-0.0006673231572725413,-0.00010133760389015329,-9.47036170159838e-05,0.00475920449974266,0.23777156904981683,38.11142154750916,0.7622284309501832,127.50474363287627,14.352553541384435,dynamic_burn_in,synthetic,0.3528049274982407,-0.4402157071246092,0.4402157071246092,0.0447969322874435,False,2.7535691114583473e-05,False,0.0447969322874435,False,[],False,False,False,False,tester_fault,False,True,120.0,,True,False,False,False
B01-C003,B01,Digital IC,leakage_ua,24.0,24.0,4,10.485431962678994,10.728102586700409,0.24267062402141448,0.023143598173652438,0.010182581743481202,-0.002049307149286762,0.1725765320048944,50.0,0.00485341248042829,0.00020365163486962403,-4.098614298573524e-05,0.003451530640097888,0.2145620517340082,39.27189741329959,0.7854379482659918,126.77070644621546,15.54466446440432,dynamic_burn_in,synthetic,-0.5166441956723352,-0.1754159102448449,0.5166441956723352,0.048183491790032375,False,8.809678344943421e-10,False,0.048183491790032375,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B01-C004,B01,Digital IC,leakage_ua,24.0,24.0,4,10.197890365299237,67.12876060683257,56.930870241533334,5.582612501430124,2.4338323724397464,0.19231449526403735,24.51109149709978,50.0,1.1386174048306668,0.04867664744879493,0.003846289905280747,0.4902218299419956,1.3425752121366514,-17.12876060683257,-0.34257521213665143,127.78783228276887,16.847935884693925,dynamic_burn_in,synthetic,41.73973019988356,41.91013274018145,41.91013274018145,1.0,True,0.9525741268224331,True,1.0,True,"['Current value is unusually above the batch norm', 'Drift is unusually faster than comparable components', 'Current value has used at least 80% of the safety limit', 'The rate of change is accelerating']",True,True,True,True,intermittent,True,False,24.0,24.0,True,True,True,False
B01-C005,B01,Digital IC,leakage_ua,24.0,24.0,4,10.4756947402556,11.534137865751568,1.0584431254959679,0.10103798857641613,0.03619395380913972,-0.0061664661959600015,0.4272380859245334,50.0,0.021168862509919357,0.0007238790761827944,-0.00012332932391920004,0.008544761718490668,0.23068275731503135,38.46586213424843,0.7693172426849686,127.2286707657403,13.542660533012164,dynamic_burn_in,synthetic,0.08725174673767015,0.2762594385352796,0.2762594385352796,0.03828203295482827,False,2.370027988117268e-05,False,0.03828203295482827,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B01-C006,B01,Digital IC,leakage_ua,24.0,24.0,4,11.92522121024173,12.396491633290715,0.4712704230489848,0.03951879925248212,0.024146104519343587,0.0009300031550740403,0.2663229634998181,50.0,0.009425408460979697,0.00048292209038687176,1.8600063101480805e-05,0.005326459269996362,0.2479298326658143,37.603508366709285,0.7520701673341857,126.82996064324664,13.983911165002631,dynamic_burn_in,synthetic,0.7333425006708102,0.06705415262099046,0.7333425006708102,0.05915276215783447,False,1.2437058689224217e-07,False,0.05915276215783447,False,['The rate of change is accelerating'],False,False,False,False,sudden_step,True,False,96.0,96.0,True,False,True,True
B01-C007,B01,Digital IC,leakage_ua,24.0,24.0,4,9.90724181928013,10.592805002523406,0.6855631832432749,0.06919818812831688,0.03007175872783528,-0.00027656410001235406,0.2796199895286388,50.0,0.013711263664865499,0.0006014351745567056,-5.531282000247081e-06,0.005592399790572776,0.21185610005046812,39.407194997476594,0.7881438999495319,127.20034188889716,14.798137083827413,dynamic_burn_in,synthetic,-0.6180115479779935,0.16995037526602755,0.6180115479779935,0.053051154247320535,False,5.329544802469174e-09,False,0.053051154247320535,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B01-C008,B01,Digital IC,leakage_ua,24.0,24.0,4,10.395079627176449,10.438125820970848,0.043046193794399557,0.0041410162632964775,0.013924275445692172,0.0042862495374532865,0.38959870711340494,50.0,0.0008609238758879911,0.00027848550891384344,8.572499074906574e-05,0.0077919741422680985,0.20876251641941695,39.561874179029154,0.7912374835805831,127.18202124441396,14.918517896418528,dynamic_burn_in,synthetic,-0.733899937162211,-0.11044314357538511,0.733899937162211,0.0591837931931773,False,3.199176627183627e-05,False,0.0591837931931773,False,['The rate of change is accelerating'],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B01-C009,B01,Digital IC,leakage_ua,24.0,24.0,4,10.758222320105853,11.232901230852368,0.47467891074651547,0.044122429953822054,0.014401767237969453,-0.0024199803906184638,0.20199506980788648,50.0,0.009493578214930309,0.0002880353447593891,-4.839960781236928e-05,0.004039901396157729,0.22465802461704737,38.76709876914763,0.7753419753829526,127.74047951264703,16.358668082662998,dynamic_burn_in,synthetic,-0.13844008865570911,-0.10215172122088244,0.13844008865570911,0.03351865292682613,False,2.2838233118399937e-10,False,0.03351865292682613,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B01-C010,B01,Digital IC,leakage_ua,24.0,24.0,4,10.229386013475619,18.845938627046397,8.616552613570779,0.8423333132819326,0.3590245347159948,-0.0007527298020219795,3.186470041826926,50.0,0.17233105227141557,0.007180490694319896,-1.505459604043959e-05,0.06372940083653851,0.3769187725409279,31.154061372953603,0.623081227459072,127.50277596941874,14.78111161934579,dynamic_burn_in,synthetic,5.565382699832195,5.882061964442998,5.882061964442998,0.915449171193202,True,0.7685247834990172,True,0.915449171193202,True,"['Current value is unusually above the batch norm', 'Drift is unusually faster than comparable components']",False,True,True,True,gradual_drift,True,False,0.0,120.0,True,True,True,True
