component_id,batch_id,component_family,measurement_name,as_of_hour,last_observed_hour,n_observations,initial_value,current_value,delta,percent_change,slope,acceleration,variability,upper_limit,delta_fraction_of_limit,slope_fraction_per_hour,acceleration_fraction_per_hour2,variability_fraction_of_limit,limit_fraction,distance_to_upper_limit,distance_fraction_to_upper_limit,temperature_c,humidity_pct,test_condition,data_source,current_batch_robust_z,slope_batch_robust_z,robust_deviation_score,robust_anomaly_score,is_robust_anomaly,model_anomaly_score,is_model_anomaly,anomaly_score,is_anomaly,reason_codes,flag_fixed_limit,flag_robust_mad,flag_isolation_forest,flag_combined,scenario,is_defect,is_tester_fault,anomaly_onset_hour,first_exceedance_hour,is_true_anomaly,is_started_by_as_of,is_future_limit_failure,is_early_future_failure
B03-C001,B03,Digital IC,leakage_ua,24.0,24.0,4,9.938933100794552,10.166137932850305,0.2272048320557527,0.022860082641826936,0.009159822493449321,0.0011435769951378281,0.12249315388768012,50.0,0.004544096641115054,0.0001831964498689864,2.2871539902756564e-05,0.002449863077753602,0.20332275865700608,39.833862067149695,0.7966772413429939,126.23233078968507,14.793664033215535,dynamic_burn_in,synthetic,-1.4121831415673651,-0.5934557258903732,1.4121831415673651,0.11028660960981755,False,8.481104172358075e-05,False,0.11028660960981755,False,['The rate of change is accelerating'],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C002,B03,Digital IC,leakage_ua,24.0,24.0,4,9.802112330752443,9.853828614219859,0.051716283467415636,0.005276034565036016,0.0046554923009731975,-0.0019523613809182799,0.2385471242851524,50.0,0.0010343256693483127,9.310984601946395e-05,-3.90472276183656e-05,0.004770942485703048,0.19707657228439718,40.14617138578014,0.8029234277156029,126.82343265481383,14.65007856808513,dynamic_burn_in,synthetic,-1.7307668060814487,-0.804965950076178,1.7307668060814487,0.1456377146779785,False,0.0031726828424851893,False,0.1456377146779785,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C003,B03,Digital IC,leakage_ua,24.0,24.0,4,9.62557018946436,10.068845552717047,0.44327536325268646,0.04605185506183023,0.03168587213993485,0.008569169942572593,0.49867199133502194,50.0,0.008865507265053729,0.000633717442798697,0.00017138339885145186,0.009973439826700438,0.20137691105434094,39.93115444728295,0.798623088945659,126.68511301479296,15.287920602125995,dynamic_burn_in,synthetic,-1.511430141714766,0.46430194443032485,1.511430141714766,0.12040824671320466,False,0.0029810327298548994,False,0.12040824671320466,False,['The rate of change is accelerating'],False,False,False,False,intermittent,True,False,168.0,168.0,True,False,True,True
B03-C004,B03,Digital IC,leakage_ua,24.0,24.0,4,11.978851789333167,13.09739244784077,1.1185406585076034,0.09337628331820857,0.04615636823576949,-0.0003023837527076605,0.4098469778327615,50.0,0.02237081317015207,0.0009231273647153898,-6.04767505415321e-06,0.008196939556655231,0.2619478489568154,36.90260755215923,0.7380521510431847,125.89506694496662,16.25562003911824,dynamic_burn_in,synthetic,1.5779607616125986,1.1437942868039404,1.5779607616125986,0.1276343372750636,False,0.0033766123817395004,False,0.1276343372750636,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C005,B03,Digital IC,leakage_ua,24.0,24.0,4,10.235363358234093,18.895511478315672,8.66014812008158,0.8461007017513168,0.36094707751346916,0.0004105210540610374,3.2031887694109598,50.0,0.1732029624016316,0.007218941550269383,8.210421081220749e-06,0.0640637753882192,0.3779102295663134,31.104488521684328,0.6220897704336865,126.71214851753152,15.605816733899458,dynamic_burn_in,synthetic,7.492564962722936,15.925448971478287,15.925448971478287,0.9999959849187999,True,0.8670357598021706,True,0.9999959849187999,True,"['Current value is unusually above the batch norm', 'Drift is unusually faster than comparable components', 'The rate of change is accelerating']",False,True,True,True,gradual_drift,True,False,0.0,120.0,True,True,True,True
B03-C006,B03,Digital IC,leakage_ua,24.0,24.0,4,9.880964595038506,10.63021574006812,0.7492511450296142,0.07582773299337932,0.02901810358592606,-0.002246725572428307,0.2779806721311113,50.0,0.014985022900592284,0.0005803620717185213,-4.493451144856614e-05,0.005559613442622225,0.2126043148013624,39.369784259931876,0.7873956851986376,126.63883401215317,12.40374259761369,dynamic_burn_in,synthetic,-0.9387819344197177,0.33903130466311576,0.9387819344197177,0.0716764511768891,False,3.889111421009111e-08,False,0.0716764511768891,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C007,B03,Digital IC,leakage_ua,24.0,24.0,4,10.747674537666478,11.624228650557237,0.8765541128907586,0.08155756017906687,0.036159192485349,-1.4529573354842585e-05,0.3212585322652878,50.0,0.017531082257815172,0.00072318384970698,-2.905914670968517e-07,0.006425170645305756,0.23248457301114475,38.375771349442765,0.7675154269888553,126.51520724183891,12.013293423522796,dynamic_burn_in,synthetic,0.07520085990303021,0.6743560365334946,0.6743560365334946,0.055954053124209494,False,1.2626096518246154e-08,False,0.055954053124209494,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C008,B03,Digital IC,leakage_ua,24.0,24.0,4,10.588964712531695,11.140156844017143,0.5511921314854487,0.052053448703359144,0.013331612309127697,-0.004666269017866851,0.30327108974325434,50.0,0.011023842629708973,0.00026663224618255393,-9.332538035733702e-05,0.006065421794865087,0.22280313688034287,38.85984315598286,0.7771968631196572,125.87320750910757,14.651476192673499,dynamic_burn_in,synthetic,-0.41859602932133644,-0.3975606290690786,0.41859602932133644,0.043880873590078744,False,5.964145726632088e-09,False,0.043880873590078744,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
B03-C009,B03,Digital IC,leakage_ua,24.0,24.0,4,11.98103224462987,11.988702893948027,0.00767064931815753,0.0006402327580409997,0.001516269795087682,-0.0030134180434712656,0.25633319738093585,50.0,0.0001534129863631506,3.0325395901753643e-05,-6.026836086942531e-05,0.005126663947618717,0.23977405787896053,38.01129710605197,0.7602259421210394,126.95251153920616,15.271254013674566,dynamic_burn_in,synthetic,0.44699745114670963,-0.9523746940217384,0.9523746940217384,0.07258618149179857,False,1.7778551863194667e-05,False,0.07258618149179857,False,[],False,False,False,False,healthy_stable,False,False,,,False,False,False,False
B03-C010,B03,Digital IC,leakage_ua,24.0,24.0,4,11.89853515805418,11.940923836826212,0.04238867877203134,0.0035625123772768134,0.006711392796931761,-0.00014319164802663176,0.23743741884675781,50.0,0.0008477735754406268,0.0001342278559386352,-2.863832960532635e-06,0.004748748376935156,0.23881847673652423,38.059076163173785,0.7611815232634757,126.46300312752793,15.10423510512402,dynamic_burn_in,synthetic,0.39825850486215364,-0.7084268518701338,0.7084268518701338,0.05778124943293512,False,5.368750039367665e-07,False,0.05778124943293512,False,[],False,False,False,False,ordinary_noise,False,False,,,False,False,False,False
